hebrew_name_ebird,hebrew_name_hamaarag
שחור זנב,שחור-זנב
גיבתון שחור-ראש,גבתון שחור-ראש
חמריה שחורה,חמרייה שחורה
גיבתון אפור,גבתון אפור
קוקיה אירופית,קוקייה אירופית
גיבתון עפרוני,גבתון עפרוני
גיבתון אדום-מקור,גבתון אדום-מקור
קוקיה ירוקה,קוקייה ירוקה
אדום חזה,אדום-חזה
קוקיה מצויצת,קוקייה מצויצת
קוקיה הימלאית,קוקייה הימלאית
גיבתון מדבר,גבתון מדבר
גיבתון גמדי,גבתון גמדי
סיס גליל,סיס הגליל
ברכיה,ברכייה
אייה מזרחית,איה מזרחית
גיבתון גנים,גבתון גנים
יען אפריקני,יען
גיבתון לבן-כיפה,גבתון לבן-כיפה
גיבתון סוף,גבתון סוף
גיבתון חום-ראש,גבתון חום-ראש
גיבתון סלעים,גבתון סלעים
גיבתון לבן-גרון,גבתון לבן-גרון
חמריה חלודת-זנב,חמרייה חלודת-זנב
חיוויאי הנחשים,חוויאי הנחשים
גיבתון שלג,גבתון שלג
גיבתון צווארון,גבתון צווארון
גיבתון צהוב,גבתון צהוב
